CANTON,ACR,INHABITANTS,VIRUSCASESCONFIRMED
Aargau,AG,677387,26
Appenzell Innerrhoden,AI,16145,0
Appenzell Ausserrhoden,AR,55234,3
Bern,BE,1034977,69
Basel-Landschaft,BL,288132,41
Basel-Stadt,BS,194766,100
Fribourg,FR,318714,31
Genève,GE,499480,103
Glarus,GL,40403,3
Graubünden,GR,198379,43
Jura,JU,73419,7
Lucerne,LU,409557,9
Neuchâtel,NE,176850,38
Nidwalden,NW,43223,0
Obwalden,OW,37841,1
Sankt Gallen,SG,507697,16
Schaffhausen,SH,81991,1
Solothurn,SO,273194,6
Schwyz,SZ,159165,12
Thurgau,TG,276472,4
Ticino,TI,353343,250
Uri,UR,36433,0
Vaud,VD,799145,254
Valais,VS,343955,43
Zug,ZG,126837,8
Zürich,ZH,1520968,119
